,Date,Average Total Volume
0,2018-01-07,75280.80296296296
1,2018-01-14,72452.54407407407
2,2018-01-21,62475.23759259259
3,2018-01-28,65953.37833333334
4,2018-02-04,68892.06611111111
5,2018-02-11,65168.866111111114
6,2018-02-18,92301.99203703704
7,2018-02-25,72301.3551851852
8,2018-03-04,81308.34648148148
9,2018-03-11,82090.17592592593
10,2018-03-18,83010.19462962962
11,2018-03-25,77510.80222222222
