iso_code,country,2021_last_updated,2020_population,area,density_sq_km,growth_rate,world_%,rank
GMB,Gambia,2528326.00,2416668.00,"10,689 sq_km",233/sq_km,2.91%,0.03%,144
BWA,Botswana,2423535.00,2351627.00,"582,000 sq_km",4/sq_km,1.94%,0.03%,145
GAB,Gabon,2310507.00,2225734.00,"267,668 sq_km",9/sq_km,2.39%,0.03%,146
LSO,Lesotho,2169209.00,2142249.00,"30,355 sq_km",71/sq_km,0.79%,0.03%,147
MKD,North Macedonia,2082011.00,2083374.00,"25,713 sq_km",81/sq_km,-0.03%,0.03%,148
SVN,Slovenia,2078724.00,2078938.00,"20,273 sq_km",103/sq_km,-0.01%,0.03%,149
GNB,Guinea Bissau,2043512.00,1968001.00,"36,125 sq_km",56/sq_km,2.41%,0.03%,150
LVA,Latvia,1855735.00,1886198.00,"64,559 sq_km",29/sq_km,-1.02%,0.02%,151
BHR,Bahrain,1775452.00,1701575.00,765 sq_km,"2,285/sq_km",2.75%,0.02%,152
GNQ,Equatorial Guinea,1477483.00,1402985.00,"28,051 sq_km",52/sq_km,3.34%,0.02%,153
TTO,Trinidad And Tobago,1405746.00,1399488.00,"5,130 sq_km",274/sq_km,0.28%,0.02%,154
TLS,Timor Leste,1358744.00,1318445.00,"14,874 sq_km",90/sq_km,1.93%,0.02%,155
EST,Estonia,1324323.00,1326535.00,"45,227 sq_km",29/sq_km,-0.10%,0.02%,156
MUS,Mauritius,1274295.00,1271768.00,"2,040 sq_km",624/sq_km,0.13%,0.02%,157
CYP,Cyprus,1220541.00,1207359.00,"9,251 sq_km",131/sq_km,0.68%,0.02%,158
DJI,Djibouti,1010377.00,988000.00,"23,200 sq_km",43/sq_km,1.44%,0.01%,160
FJI,Fiji,906570.00,896445.00,"18,272 sq_km",49/sq_km,0.72%,0.01%,161
RU,Reunion,905350.00,895312.00,"2,511 sq_km",359/sq_km,0.71%,0.01%,162
COM,Comoros,899658.00,869601.00,"1,862 sq_km",477/sq_km,2.17%,0.01%,163
GUY,Guyana,792481.00,786552.00,"214,969 sq_km",4/sq_km,0.48%,0.01%,164
BTN,Bhutan,784855.00,771608.00,"38,394 sq_km",20/sq_km,1.07%,0.01%,165
SLB,Solomon Islands,714126.00,686884.00,"28,896 sq_km",24/sq_km,2.49%,0.01%,166
MAC,Macau,663998.00,649335.00,30 sq_km,"21,946/sq_km",1.40%,0.01%,167
LUX,Luxembourg,640202.00,625978.00,"2,586 sq_km",245/sq_km,1.41%,0.01%,168
MNE,Montenegro,628053.00,628066.00,"13,812 sq_km",45/sq_km,0.00%,0.01%,169
ESH,Western Sahara,620280.00,597339.00,"266,000 sq_km",2/sq_km,2.43%,0.01%,170
SUR,Suriname,594817.00,586632.00,"163,820 sq_km",4/sq_km,0.88%,0.01%,171
CPV,Cape Verde,565346.00,555987.00,"4,033 sq_km",139/sq_km,1.06%,0.01%,172
MDV,Maldives,546203.00,540544.00,300 sq_km,"1,812/sq_km",0.57%,0.01%,173
MLT,Malta,443646.00,441543.00,316 sq_km,"1,401/sq_km",0.28%,0.01%,174
BRN,Brunei,443903.00,437479.00,"5,765 sq_km",77/sq_km,0.93%,0.01%,175
BLZ,Belize,409224.00,397628.00,"22,966 sq_km",18/sq_km,1.83%,0.01%,176
BHS,Bahamas,399068.00,393244.00,"13,943 sq_km",28/sq_km,0.93%,0.01%,178
MTQ,Martinique,374314.00,375265.00,"1,128 sq_km",332/sq_km,-0.14%,0.00%,179
ISL,Iceland,344646.00,341243.00,"103,000 sq_km",3/sq_km,0.62%,0.00%,180
VUT,Vanuatu,318774.00,307145.00,"12,189 sq_km",26/sq_km,2.38%,0.00%,181
NCL,New Caledonia,289727.00,285498.00,"18,575 sq_km",16/sq_km,0.95%,0.00%,183
BRB,Barbados,287927.00,287375.00,430 sq_km,669/sq_km,0.12%,0.00%,184
PYF,French Polynesia,283392.00,280908.00,"4,167 sq_km",68/sq_km,0.58%,0.00%,185
MYT,Mayotte,283394.00,272815.00,374 sq_km,747/sq_km,2.46%,0.00%,186
STP,Sao Tome And Principe,225954.00,219159.00,964 sq_km,232/sq_km,1.92%,0.00%,187
WSM,Samoa,201011.00,198414.00,"2,842 sq_km",70/sq_km,0.87%,0.00%,188
LCA,Saint Lucia,184831.00,183627.00,616 sq_km,299/sq_km,0.42%,0.00%,189
GUM,Guam,171041.00,168775.00,549 sq_km,310/sq_km,0.83%,0.00%,190
CUW,Curacao,165229.00,164093.00,444 sq_km,371/sq_km,0.43%,0.00%,191
KIR,Kiribati,122470.00,119449.00,811 sq_km,150/sq_km,1.63%,0.00%,192
FSM,Micronesia,116901.00,115023.00,702 sq_km,166/sq_km,1.07%,0.00%,193
